Name,Qty,Link,Cost
Seeed Studio XIAO RP2040,1,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html,$3.90
Gateron Milky Pro Yellow Switches (30-pack),1,https://www.aliexpress.com/item/1005005322416424.html?spm=a2g0o.productlist.main.4.6fd6AJhcAJhcRR&algo_pvid=621a244a-f2c9-426e-b6be-1a73efd2c8c3&algo_exp_id=621a244a-f2c9-426e-b6be-1a73efd2c8c3-21&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%217.95%217.94%21%21%2110.31%2110.30%21%402103849717854352321456107e0d1a%2112000032623796818%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Acec8671b%3Bm03_new_user%3A-29895%3BpisId%3A5000000212851917&curPageLogUid=xlVrQmQ6seaW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005322416424%7C_p_origin_prod%3A,$10.71
DSA PBT 1U Keycaps (10-pack),1,https://www.aliexpress.com/item/1005012418077180.html?spm=a2g0o.productlist.main.44.2c60uVRtuVRtVY&algo_pvid=b6b50a2a-433e-464b-94e8-dcf3317d2a18&algo_exp_id=b6b50a2a-433e-464b-94e8-dcf3317d2a18-43&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%215.35%212.56%21%21%2146.85%2122.40%21%402103849717854356457228356e0d1a%2112000058315981392%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Acec8671b%3Bm03_new_user%3A-29895%3BpisId%3A5000000211438706&curPageLogUid=owTJvLrJ00ZO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012418077180%7C_p_origin_prod%3A,$7.21
5mm Red LED,1,https://www.lcsc.com/product-detail/C52034661.html?s_z=n_q_5A4RUD&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlVdUlBfQVJYVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,$0.41
5mm Blue LED,1,https://www.lcsc.com/product-detail/C52034724.html?s_z=s_p_5A4BUD&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlVdUlFeQFhWUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,$0.64
5mm Yellow LED,1,https://www.lcsc.com/product-detail/C52034720.html?s_z=s_p_5A4YUD&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlVdUlFSQ1ZZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,$0.57
220Ω 1/4W Through-Hole Resistor (50-pack),1,https://www.lcsc.com/product-detail/C127220.html?s_z=n_q_p_220%25CE%25A9%25201%252F4W%2520Through-Hole%2520Resistor&spm=wm.ssy.bg.2.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlVdU1xVT1hZVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,$0.57
TDK PS1240P02BT Piezo Transducer,1,https://www.lcsc.com/product-detail/C76871.html?s_z=n_q_p_TDK%2520PS1240P02BT%2520Piezo%2520Transducer&spm=wm.ssy.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlVdU1JfQVBcXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,$0.22
Custom PCB (5 boards),1,https://jlcpcb.com,$4.00
Shipping,1,https://jlcpcb.com,~$3.50
Estimated Total,,,~$31.73
